sequence,bid,t,role,tag,title,meaning,next_options
1C,1C,1♣,opener,artificial forcing,人工预备性开叫,①好的12-15均型（无5张高花）②12-18点4-4-1-4单张♣③16-18点6张♣或5张♣+高花4张④19+任意型/好18点/8+赢墩,1D:示弱0-6|1H:实套且逼叫|1S:实套且逼叫|1NT:均型7-10|2D:5张+♦10+|2H:好5张+♥进局逼|2S:好5张+♠进局逼|2NT:均型11-12邀|3NT:13-15均型
1D,1D,1♦,opener,natural,自然开叫4张以上♦,12-18大牌点,1H:实套且逼叫|1S:实套且逼叫|1NT:自然的7-10无4张高花|2C:5张+♣10+|2D:4张支持6-10|2H:好5张+♥进局逼|2S:好5张+♠进局逼|2NT:均型11-12邀
1H,1H,1♥,opener,natural,自然开叫5张套,12-18大牌点,1S:4张♠|1NT:无4张♠7-10|2C:5张+♣10+|2D:5张+♦10+|2H:4张支持6-10|2S:好5张+♠进局逼|2NT:均型11-12邀|3H:好13-154张支持
1S,1S,1♠,opener,natural,自然开叫5张套,12-18大牌点,1NT:无4张♠7-10|2C:5张+♣10+|2D:5张+♦10+|2H:4张♥10+询双高|2S:4张支持6-10|2NT:均型11-12邀|3S:好13-154张支持
1NT,1NT,1NT,opener,natural game,好的15-坏的18大牌点均型,好的15-坏的18大牌点均型，无4张高花,2C:斯台曼|2D:转移到♥|2H:转移到♠|2S:5张♠自然|2NT:转移到♣|3C:好6张♣套邀叫|3D:好6张♦套邀叫|3H:低花5-4♣单缺进局逼|3S:低花5-4♦单缺进局逼|3NT:封3NT
2C,2C,2♣,opener,artificial game forcing,强牌22+均型或19+非均型,逼叫进局，相当于传统强二开叫,2D:等待应叫|2H:4张♥7+|2S:4张♠7+|2NT:均型0-7|3C:5张+♣|3D:5张+♦
2D,2D,2♦,opener,weak natural,威尔柯茨2♦弱二,6张+低花套6-11点,2H:斯台曼问高花|2S:4张♠|2NT:询问|3D:加叫进局
2H,2H,2♥,opener,weak natural,弱二阻击叫,6张+♥套6-11点,2S:斯台曼|2NT:询问|3H:加叫|4H:封局
2S,2S,2♠,opener,weak natural,弱二阻击叫,6张+♠套6-11点,2NT:询问|3S:加叫|4S:封局
2NT,2NT,2NT,opener,weak natural,双低花5-5+阻击性,两门低花5-5或更长无高花6-11点,3C:♣套|3D:♦套|3H:止叫|3S:止叫|3NT:封3NT
1C-1D,1C-1D,1♣-1♦,responder,weak forcing,示弱应叫,0-6点，开叫者必须继续描述牌情逼叫一轮,1H:4张♥12-15或12-18|1S:4张♠12-15或12-18|1NT:均型12-15|2D:6张+♦16-18|2NT:18-22均型|2C:人工进局逼22+
1C-1H,1C-1H,1♣-1♥,responder,natural forcing,实套且逼叫,应叫者实套且逼叫（无7点保证要求）,1NT:无将特征|1S:4张♠|2H:4张支持|2S:6张+强套|2NT:22-23均型|3H:9赢墩
1C-1S,1C-1S,1♣-1♠,responder,natural forcing,实套且逼叫,应叫者实套且逼叫（无7点保证要求）,1NT:无将特征|2S:4张支持|2C:4张♣|2NT:22-23均型|3S:9赢墩
